Best Accuracy -> 99.55% on Stump 200


Accuracy for Test Set -> 99.81%
Accuracy till 272 Stumps -> 99.45%
Accuracy till 273 Stumps -> 99.45%
Accuracy till 274 Stumps -> 99.45%
Accuracy till 275 Stumps -> 99.45%
Accuracy till 276 Stumps -> 99.45%
Accuracy till 277 Stumps -> 99.45%
Accuracy till 278 Stumps -> 99.45%
Accuracy till 279 Stumps -> 99.45%
Accuracy till 280 Stumps -> 99.45%
Accuracy till 281 Stumps -> 99.45%
Accuracy till 282 Stumps -> 99.45%
Accuracy till 283 Stumps -> 99.45%
Accuracy till 284 Stumps -> 99.45%
Accuracy till 285 Stumps -> 99.45%
Accuracy till 286 Stumps -> 99.45%
Accuracy till 287 Stumps -> 99.45%
Accuracy till 288 Stumps -> 99.45%
Accuracy till 289 Stumps -> 99.45%
Accuracy till 290 Stumps -> 99.45%
Accuracy till 291 Stumps -> 99.45%
Accuracy till 292 Stumps -> 99.45%
Accuracy till 293 Stumps -> 99.45%
Accuracy till 294 Stumps -> 99.45%
Accuracy till 295 Stumps -> 99.45%
Accuracy till 296 Stumps -> 99.45%
Accuracy till 297 Stumps -> 99.45%
Accuracy till 298 Stumps -> 99.45%
Accuracy till 299 Stumps -> 99.45%
Accuracy till 300 Stumps -> 99.45%
